sample_id,family,n_variables,n_objectives,n_constraints,n_data_refs,n_index_signatures,index_signatures,variable_names,constraint_names,objective_contract,data_ref_leaves,code_bytes
P016-S06,P016,2,2,4,7,1,[],target_weapon_assignment|target_weapon_effort,Binary weapon assignment at most one target|Continuous effort bounds|Per-weapon effort budget|Public candidate membership,wta.convex_relaxation_effort_objective|wta.linear_selected_contribution,json|md|target_value|targets|weapon_target_completion_probability|weapons,15697
P016-S07,P016,2,2,4,7,1,"[targets,weapon_target_completion_probability,weapons]",continuous_engagement_effort|engagement_selection,binary_engagement_membership|binary_weapon_capacity|relaxed_effort_bounds|relaxed_weapon_effort_budget,wta.original_binary_objective|wta.relaxed_convex_objective,engageable_pairs|target_requirement|target_value|targets|weapon_capacity|weapon_target_completion_probability|weapons,15611
P017-S04,P017,2,1,3,6,1,[],missile_engaged_by_some_weapon|weapon_to_missile_assignment,public_candidate_membership|single choice per weapon|storage list update between sampling times,wta.linear_selected_contribution,current_missile_storage_list|missile_availability_mask|missile_damage_intensity|missile_distance_to_asset|weapon_missile_destroy_probability|weapons,15824
P017-S05,P017,2,1,1,14,2,[]|[weapons],current_missile_storage_selected|weapon_selected,public_candidate_membership,wta.linear_selected_contribution,'sha256': 'fdf79e2f1cbf51e7f07bf156392d43e92f7efa6891b4ccbe3ef62b45a7f2c7bc'}|current_missile_storage_list'|json'|missile_availability_mask'|missile_damage_intensity'|missile_distance_to_asset'|previous_weapon_action_if_switching_penalty_active'|weapons',15627
P017-S06,P017,3,1,13,7,2,[]|[current_missile_storage_list],AssignedWeapon|MissileSelected|SwitchingPenaltyIndicator,CandidateMembership|MissileAvailability|SolutionViewMembership|SwitchingIndicatorLinking|WeaponDomainMembership|coverage_linking|fixed_previous_engagements|radar_support_capacity|weapon_round_limit,wta.linear_selected_contribution,current_missile_storage_list|missile_availability_mask|missile_damage_intensity|missile_distance_to_asset|previous_weapon_action_if_switching_penalty_active|sampling_interval|weapons,15802
P017-S07,P017,2,1,3,8,1,[],selected_missile_storage_candidate|selected_weapon_candidate,binary_missile_selection|binary_weapon_selection|public_candidate_membership,,current_missile_storage_list|json|md|missile_availability_mask|missile_damage_intensity|weapon_missile_destroy_probability|weapons,15348
P018-S04,P018,1,1,6,15,1,[feasible_firing_slots],EngagementSelection,feasible_slot_membership|firing_delay_compliance|launcher_capacity|one_target_per_launcher_per_slot|rotation_realignment_time|target_max_interceptors_upper_bound,wta.linear_selected_contribution,distance_pk_parameters|engagement_distance_bounds|feasible_firing_slots|firing_delay|heading_error_pk_parameters|heading_vectors|launcher_interceptor_capacity|launcher_orientation|launcher_positions|launchers|strategy_type|target_max_interceptors|target_pip_positions_by_launcher_time|targets|time_slots,15579
P018-S05,P018,1,1,5,14,1,"[launchers,targets,time_slots]",selected_engagement_assignment,C001|C002|C003|C004|C005,wta.linear_selected_contribution,distance_pk_parameters|engagement_distance_bounds|feasible_firing_slots|heading_error_pk_parameters|heading_vectors|json']|launcher_interceptor_capacity|launcher_orientation|launcher_positions|launchers|md'|targets|time_slots,15032
P018-S06,P018,1,1,7,10,1,[],engagement_assignment,binary_domain|firing_delay|launcher_interceptor_capacity|launcher_time_exclusive|public_candidate_membership|rotation_realignment_if_activated|target_max_interceptors,wta.linear_selected_contribution,distance_pk_parameters|engagement_distance_bounds|feasible_firing_slots|heading_error_pk_parameters|heading_vectors|launcher_orientation|launcher_positions|launchers|targets|time_slots,16089
P018-S07,P018,1,1,6,17,1,[],engagement_assignment,authoritative_candidate_membership|feasible_firing_slot_restriction|launcher_interceptor_capacity|launcher_single_target_per_time_slot|orientation_heading_feasibility|target_assignment_upper_bound,wta.linear_selected_contribution,'distance_pk_parameters'|'engagement_distance_bounds'|'feasible_firing_slots'|'fields': ['launchers'|'heading_error_pk_parameters'|'heading_vectors']}|'launcher_interceptor_capacity'|'launcher_orientation'|'launcher_positions'|'sha256': '076a3649ec467565a028fef74017686c79b09a4caa4794bbbea4a75c6eeb92ca'|'sha256': '6b11a6109f43e675caae601d45eada4922ffd61c43ccb453af2f6dec109aa565'}|'sha256': '84b9a5d78c4d2e412e5728d777555e84c89b862dbd378296450615baca505df9'}|'targets'|'time_slots'|json'|md',15316
